iter	Passed	Remaining
443	1269	1589
444	1272	1586
445	1276	1585
446	1281	1585
447	1284	1582
448	1296	1591
449	1302	1591
450	1306	1590
451	1309	1587
452	1312	1585
453	1315	1582
454	1320	1581
455	1325	1581
456	1329	1579
457	1333	1577
458	1336	1575
459	1339	1572
460	1342	1569
461	1345	1566
462	1350	1565
463	1353	1563
464	1356	1560
465	1358	1557
466	1361	1553
467	1366	1553
468	1369	1550
469	1372	1547
470	1375	1545
471	1381	1544
472	1383	1541
473	1386	1538
474	1389	1535
475	1395	1536
476	1399	1534
477	1402	1531
478	1406	1530
479	1413	1531
480	1416	1528
481	1418	1524
482	1421	1521
483	1424	1518
484	1429	1517
485	1432	1515
486	1435	1511
487	1438	1508
488	1444	1509
489	1447	1506
490	1451	1504
491	1455	1502
492	1459	1500
493	1462	1497
494	1467	1496
495	1470	1494
496	1477	1494
497	1481	1493
498	1484	1490
499	1487	1487
500	1490	1484
501	1493	1481
502	1495	1477
503	1498	1474
504	1500	1470
505	1502	1467
506	1505	1464
507	1507	1460
508	1510	1456
509	1512	1453
510	1515	1450
511	1517	1446
512	1522	1445
513	1524	1441
514	1527	1438
515	1529	1434
516	1531	1431
517	1534	1427
518	1537	1424
519	1539	1421
520	1542	1417
521	1544	1414
522	1546	1410
523	1549	1407
524	1552	1404
525	1555	1401
526	1557	1398
527	1559	1394
528	1562	1390
529	1564	1387
530	1567	1384
531	1569	1380
532	1571	1377
533	1574	1374
534	1576	1370
535	1579	1366
536	1581	1363
537	1583	1359
538	1585	1356
539	1588	1352
540	1590	1349
541	1592	1345
542	1595	1342
543	1597	1339
544	1600	1336
545	1602	1332
546	1604	1329
547	1607	1325
548	1609	1322
549	1612	1319
550	1614	1315
551	1617	1312
552	1619	1308
553	1621	1305
554	1623	1302
555	1626	1299
556	1629	1295
557	1631	1292
558	1633	1288
559	1635	1285
560	1637	1281
561	1640	1278
562	1643	1275
563	1645	1272
564	1648	1268
565	1650	1265
566	1652	1262
567	1655	1258
568	1657	1255
569	1660	1252
570	1662	1249
571	1664	1245
572	1666	1242
573	1669	1238
574	1671	1235
575	1674	1232
576	1676	1229
577	1678	1225
578	1680	1222
579	1682	1218
580	1685	1215
581	1688	1212
582	1690	1209
583	1692	1205
584	1694	1202
585	1696	1198
586	1698	1195
587	1701	1192
588	1704	1189
589	1706	1185
590	1708	1182
591	1710	1179
592	1713	1175
593	1715	1172
594	1718	1169
595	1720	1166
596	1722	1163
597	1725	1159
598	1727	1156
599	1729	1152
600	1731	1149
601	1734	1146
602	1736	1143
603	1738	1140
604	1741	1136
605	1743	1133
606	1745	1130
607	1747	1126
608	1750	1123
609	1752	1120
610	1755	1117
611	1757	1114
612	1760	1111
613	1762	1107
614	1764	1104
615	1767	1101
616	1770	1098
617	1772	1095
618	1775	1092
619	1777	1089
620	1780	1086
621	1782	1083
622	1785	1080
623	1788	1077
624	1790	1074
625	1792	1071
626	1796	1068
627	1798	1065
628	1800	1062
629	1803	1059
630	1805	1055
631	1807	1052
632	1810	1049
633	1812	1046
634	1814	1043
635	1817	1039
636	1819	1036
637	1821	1033
638	1825	1031
639	1827	1028
640	1830	1025
641	1832	1021
642	1834	1018
643	1836	1015
644	1839	1012
645	1842	1009
646	1845	1006
647	1847	1003
648	1850	1000
649	1852	997
650	1856	995
651	1858	992
652	1861	989
653	1863	986
654	1866	983
655	1869	980
656	1872	977
657	1875	974
658	1877	971
659	1879	968
660	1882	965
661	1884	962
662	1887	959
663	1890	956
664	1892	953
665	1894	950
666	1896	947
667	1899	943
668	1902	941
669	1905	938
670	1907	935
671	1909	932
672	1912	929
673	1914	925
674	1917	923
675	1919	920
676	1922	917
677	1924	914
678	1926	910
679	1929	907
680	1932	905
681	1934	902
682	1936	898
683	1939	895
684	1941	892
685	1943	889
686	1945	886
687	1949	883
688	1951	880
689	1953	877
690	1955	874
691	1957	871
692	1960	868
693	1963	865
694	1965	862
695	1967	859
696	1970	856
697	1972	853
698	1974	850
699	1977	847
700	1980	844
701	1982	841
702	1984	838
703	1986	835
704	1989	832
705	1991	829
706	1994	826
707	1996	823
708	1998	820
709	2001	817
710	2003	814
711	2005	811
712	2008	808
713	2010	805
714	2012	802
715	2015	799
716	2017	796
717	2019	793
718	2021	790
719	2024	787
720	2026	784
721	2028	781
722	2031	778
723	2033	775
724	2036	772
725	2038	769
726	2040	766
727	2043	763
728	2045	760
729	2047	757
730	2049	754
731	2051	751
732	2054	748
733	2056	745
734	2058	742
735	2060	739
736	2062	736
737	2065	733
738	2067	730
739	2070	727
740	2072	724
741	2074	721
742	2076	718
743	2078	715
744	2081	712
745	2083	709
746	2085	706
747	2087	703
748	2090	700
749	2092	697
750	2094	694
751	2096	691
752	2098	688
753	2101	685
754	2103	682
755	2105	679
756	2108	676
757	2110	673
758	2112	670
759	2114	667
760	2117	665
761	2119	662
762	2121	659
763	2124	656
764	2126	653
765	2128	650
766	2131	647
767	2133	644
768	2136	641
769	2138	638
770	2140	635
771	2142	632
772	2144	629
773	2146	626
774	2148	623
775	2150	620
776	2153	617
777	2155	615
778	2157	612
779	2159	609
780	2162	606
781	2164	603
782	2167	600
783	2169	597
784	2171	594
785	2173	591
786	2176	588
787	2178	586
788	2180	583
789	2182	580
790	2185	577
791	2187	574
792	2189	571
793	2192	568
794	2194	565
795	2196	563
796	2199	560
797	2201	557
798	2203	554
799	2206	551
800	2208	548
801	2210	545
802	2212	542
803	2214	539
804	2216	537
805	2219	534
806	2221	531
807	2224	528
808	2226	525
809	2228	522
810	2230	519
811	2232	516
812	2234	514
813	2236	511
814	2239	508
815	2241	505
816	2243	502
817	2245	499
818	2247	496
819	2250	493
820	2252	491
821	2254	488
822	2257	485
823	2259	482
824	2261	479
825	2264	476
826	2266	474
827	2269	471
828	2271	468
829	2273	465
830	2275	462
831	2278	459
832	2280	457
833	2282	454
834	2285	451
835	2287	448
836	2290	446
837	2292	443
838	2294	440
839	2297	437
840	2300	434
841	2303	432
842	2305	429
843	2307	426
844	2309	423
845	2312	420
846	2315	418
847	2317	415
848	2319	412
849	2321	409
850	2324	406
851	2326	404
852	2328	401
853	2331	398
854	2333	395
855	2335	392
856	2337	390
857	2339	387
858	2341	384
859	2344	381
860	2346	378
861	2349	376
862	2351	373
863	2353	370
864	2355	367
865	2357	364
866	2360	362
867	2362	359
868	2364	356
869	2366	353
870	2369	350
871	2371	348
872	2373	345
873	2375	342
874	2378	339
875	2380	336
876	2382	334
877	2384	331
878	2386	328
879	2388	325
880	2390	322
881	2393	320
882	2394	317
883	2397	314
884	2398	311
885	2400	308
886	2403	306
887	2405	303
888	2407	300
889	2409	297
890	2411	295
891	2413	292
892	2416	289
893	2418	286
894	2420	283
895	2423	281
896	2425	278
897	2427	275
898	2429	272
899	2431	270
900	2433	267
901	2435	264
902	2437	261
903	2440	259
904	2442	256
905	2444	253
906	2446	250
907	2448	248
908	2450	245
909	2452	242
910	2455	239
911	2456	237
912	2458	234
913	2461	231
914	2463	228
915	2465	226
916	2469	223
917	2472	220
918	2475	218
919	2477	215
920	2479	212
921	2482	210
922	2484	207
923	2487	204
924	2489	201
925	2491	199
926	2494	196
927	2496	193
928	2499	191
929	2501	188
930	2504	185
931	2506	182
932	2508	180
933	2510	177
934	2512	174
935	2515	171
936	2517	169
937	2519	166
938	2521	163
939	2523	161
940	2525	158
941	2527	155
942	2530	152
943	2532	150
944	2535	147
945	2537	144
946	2539	142
947	2541	139
948	2543	136
949	2546	134
950	2548	131
951	2550	128
952	2552	125
953	2554	123
954	2556	120
955	2559	117
956	2561	115
957	2563	112
958	2566	109
959	2568	107
960	2570	104
961	2572	101
962	2574	98
963	2577	96
964	2579	93
965	2581	90
966	2584	88
967	2586	85
968	2588	82
969	2590	80
970	2593	77
971	2595	74
972	2597	72
973	2599	69
974	2601	66
975	2603	64
976	2606	61
977	2608	58
978	2611	56
979	2613	53
980	2615	50
981	2617	47
982	2620	45
983	2623	42
984	2626	39
985	2628	37
986	2630	34
987	2633	31
988	2636	29
989	2639	26
990	2641	23
991	2643	21
992	2645	18
993	2648	15
994	2650	13
995	2653	10
996	2655	7
997	2657	5
998	2659	2
999	2662	0
